"","x"
"1","Barbastella barbastellus"
"2","Eptesicus isabellinus"
"3","Hypsugo savii"
"4","Myotis bechsteinii"
"5","Myotis crypticus"
"6","Myotis emarginatus"
"7","Myotis mystacinus"
"8","Myotis nattereri"
"9","Pipistrellus kuhlii"
"10","Pipistrellus pipistrellus"
"11","Plecotus auritus"
"12","Rhinolophus mehelyi"
