"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.fal.","cor","cor_ci.lb","cor_ci.ub"
-0.318421773516738,0.196342250178018,-0.703245512509205,0.06640196547573,-0.79787373004976,0.161030183016285,1,1.48429983934679,-0.308079183976036,-0.606423792338358,0.0663045436465801
-0.317539216057546,0.195954660798798,-0.701603293825953,0.066524861710861,-0.796381658164862,0.161303226049769,1,1.4845919361394,-0.307280175460951,-0.605384465162228,0.0664268985962784
-0.316657251787896,0.195567537010717,-0.699962580874104,0.0666480772983132,-0.794891340741295,0.161576837165503,1,1.48488383660625,-0.306481270929218,-0.604344025179398,0.0665495694862413
-0.315775879910925,0.195180879269269,-0.698323373749553,0.0667716139277036,-0.793402777785633,0.161851017963783,1,1.48517554101108,-0.305682471422749,-0.603302477589795,0.0666725579792716
-0.314895099631378,0.194794688035774,-0.696685672561211,0.0668954732984554,-0.791915969310358,0.162125770047603,1,1.48546704961709,-0.304883777981479,-0.602259827619932,0.0667958657477256
-0.3140149101556,0.194408963777403,-0.695049477431062,0.0670196571198621,-0.790430915333847,0.162401095022647,1,1.48575836268695,-0.304085191643363,-0.60121608052292,0.0669194944735746
-0.313135310691531,0.194023706967219,-0.693414788494233,0.0671441671111707,-0.788947615880349,0.162676994497286,1,1.48604948048281,-0.303286713444369,-0.600171241578493,0.0670434458484852
-0.312256300448706,0.193638918084193,-0.691781605899026,0.0672690050016145,-0.787466070979952,0.162953470082541,1,1.48634040326629,-0.302488344418488,-0.599125316093005,0.0671677215738501
-0.311377878638242,0.193254597613245,-0.690149929806981,0.0673941725304982,-0.785986280668563,0.16323052339208,1,1.48663113129847,-0.301690085597719,-0.59807830939945,0.0672923233608689
-0.310500044472842,0.19287074604527,-0.688519760392942,0.0675196714472592,-0.78450824498789,0.163508156042207,1,1.48692166483992,-0.300891938012075,-0.597030226857477,0.0674172529306085
-0.309622797166789,0.192487363877176,-0.68689109784511,0.0676455035115325,-0.783031963985418,0.163786369651841,1,1.48721200415071,-0.300093902689584,-0.595981073853405,0.0675425120140636
-0.30874613593594,0.192104451611906,-0.685263942365093,0.0677716704932125,-0.781557437714378,0.164065165842498,1,1.48750214949033,-0.299295980656281,-0.59493085580023,0.0676681023522162
-0.307870059997723,0.191722009758469,-0.683638294167959,0.067898174172514,-0.780084666233721,0.164344546238275,1,1.48779210111782,-0.298498172936212,-0.593879578137633,0.0677940256960939
-0.306994568571131,0.191340038831989,-0.682014153482324,0.0680250163400623,-0.77861364960811,0.164624512465848,1,1.48808185929164,-0.297700480551428,-0.592827246332015,0.0679202838068566
-0.306119660876719,0.190958539353712,-0.680391520550369,0.0681521987969299,-0.777144387907873,0.164905066154434,1,1.48837142426977,-0.296902904521987,-0.591773865876479,0.0680468784558304
-0.305245336136604,0.190577511851062,-0.678770395627941,0.0682797233547327,-0.775676881209006,0.165186208935798,1,1.48866079630966,-0.296105445865952,-0.590719442290875,0.068173811424601
-0.304371593574452,0.190196956857652,-0.677150778984569,0.0684075918356655,-0.774211129593113,0.16546794244421,1,1.48894997566826,-0.295308105599389,-0.589663981121779,0.0683010845050457
-0.30349843241548,0.189816874913335,-0.675532670903562,0.0685358060726022,-0.772747133147413,0.165750268316454,1,1.48923896260198,-0.294510884736366,-0.588607487942537,0.0684286994994308
-0.302625851886452,0.189437266564227,-0.67391607168205,0.0686643679091459,-0.771284891964699,0.166033188191795,1,1.48952775736676,-0.293713784288951,-0.587549968353255,0.0685566582204583
-0.301753851215674,0.189058132362734,-0.672300981631038,0.0687932791996905,-0.769824406143306,0.166316703711959,1,1.48981636021798,-0.292916805267213,-0.586491427980819,0.0686849624913251
-0.300882429632987,0.188679472867604,-0.670687401075492,0.0689225418095185,-0.768365675787106,0.166600816521133,1,1.49010477141055,-0.292119948679218,-0.585431872478911,0.0688136141458162
-0.300011586369767,0.188301288643938,-0.669075330354368,0.0690521576148328,-0.766908701005456,0.166885528265921,1,1.49039299119885,-0.29132321553103,-0.584371307528012,0.0689426150283347
-0.299141320658919,0.187923580263244,-0.667464769820699,0.0691821285028617,-0.765453481913192,0.167170840595355,1,1.49068101983678,-0.290526606826705,-0.583309738835421,0.0690719669940026
-0.298271631734873,0.187546348303457,-0.665855719841654,0.0693124563719079,-0.764000018630598,0.167456755160852,1,1.49096885757769,-0.2897301235683,-0.582247172135269,0.0692016719087069
-0.29740251883358,0.187169593348977,-0.664248180798582,0.0694431431314214,-0.762548311283368,0.167743273616207,1,1.49125650467448,-0.288933766755861,-0.581183613188521,0.0693317316491688
-0.296533981192511,0.186793315990705,-0.662642153087103,0.0695741907020817,-0.761098360002596,0.168030397617575,1,1.49154396137951,-0.288137537387426,-0.580119067782999,0.069462148103023
-0.295666018050643,0.186417516826077,-0.661037637117144,0.069705601015857,-0.759650164924733,0.168318128823446,1,1.49183122794466,-0.287341436459026,-0.579053541733384,0.0695929231688728
-0.29479862864847,0.186042196459095,-0.659434633313021,0.0698373760160801,-0.758203726191567,0.168606468894626,1,1.49211830462129,-0.286545464964681,-0.577987040881233,0.0697240587563631
-0.293931812227988,0.185667355500367,-0.657833142113502,0.0699695176575271,-0.756759043950201,0.168895419494225,1,1.49240519166028,-0.285749623896401,-0.576919571094994,0.0698555567862551
-0.293065568032692,0.185292994567138,-0.656233163971859,0.0701020279064742,-0.755316118353008,0.169184982287623,1,1.49269188931201,-0.284953914244182,-0.575851138270005,0.0699874191904803
