"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.bm.","cor","cor_ci.lb","cor_ci.ub"
-0.109342575837229,0.18892469206907,-0.479628168082927,0.260943016408469,-0.495642343677031,0.276957192002573,1,0.740362689494244,-0.108908890458977,-0.445945773064904,0.255177356003366
-0.109427172125398,0.188457648115964,-0.47879737504381,0.259943030793013,-0.494849586642674,0.275995242391877,1,0.741389017596823,-0.108992482567829,-0.445279951344387,0.25424224663066
-0.109511568966204,0.187992192444169,-0.477969495531498,0.25894635759909,-0.494059790203975,0.275036652271567,1,0.742412925989988,-0.10907587606077,-0.444615974393567,0.25330976153526
-0.109595767297882,0.18752832004806,-0.477144520673381,0.257952986077617,-0.493272945295507,0.274081410699743,1,0.743434426056502,-0.109159071874594,-0.443953840622716,0.252379896850569
-0.109679768052066,0.187066025969051,-0.476322441682441,0.256962905578308,-0.492489042933393,0.273129506829261,1,0.744453529098998,-0.109242070939492,-0.443293548465991,0.251452648740472
-0.109763572153846,0.186605305295183,-0.475503249856507,0.255976105548815,-0.49170807421453,0.272180929906838,1,0.745470246340724,-0.10932487417911,-0.442635096381319,0.250528013399209
-0.109847180521828,0.186146153160724,-0.474686936577525,0.254992575533868,-0.49093003031583,0.271235669272174,1,0.746484588926293,-0.109407482510617,-0.441978482850277,0.249605987051246
-0.1099305940682,0.185688564745766,-0.473873493310835,0.254012305174435,-0.490154902493467,0.270293714357067,1,0.747496567922409,-0.109489896844759,-0.44132370637797,0.248686565951157
-0.110013813698784,0.185232535275828,-0.473062911604452,0.253035284206884,-0.489382682082126,0.269355054684557,1,0.748506194318594,-0.109572118085925,-0.44067076549292,0.247769746383491
-0.110096840313103,0.184778060021468,-0.47225518308836,0.252061502462154,-0.488613360494268,0.268419679868062,1,0.749513479027904,-0.109654147132199,-0.440019658746947,0.246855524662652
-0.110179674804433,0.184325134297891,-0.471450299473807,0.251090949864941,-0.487846929219398,0.267487579610531,1,0.750518432887638,-0.109735984875425,-0.439370384715047,0.245943897132772
-0.110262318059865,0.183873753464568,-0.470648252552615,0.250123616432885,-0.487083379823337,0.266558743703608,1,0.751521066660035,-0.10981763220126,-0.438722941995282,0.245034860167586
-0.110344770960358,0.183423912924856,-0.469849034196487,0.249159492275771,-0.486322703947508,0.265633162026792,1,0.752521391032967,-0.109899089989234,-0.438077329208657,0.244128410170304
-0.1104270343808,0.182975608125622,-0.469052636356333,0.248198567594733,-0.485564893308223,0.264710824546623,1,0.753519416620622,-0.109980359112804,-0.43743354499901,0.243224543573491
-0.110509109190059,0.182528834556869,-0.468259051061593,0.247240832681474,-0.484809939695982,0.263791721315863,1,0.754515153964183,-0.110061440439412,-0.436791588032888,0.242323256838937
-0.110590996251043,0.182083587751373,-0.467468270419572,0.246286277917486,-0.484057834974774,0.262875842472688,1,0.755508613532489,-0.11014233483054,-0.436151456999439,0.241424546457536
-0.110672696420749,0.181639863284313,-0.466680286614781,0.245334893773284,-0.483308571081388,0.261963178239891,1,0.756499805722704,-0.11022304314176,-0.435513150610288,0.240528408949155
-0.110754210550321,0.181197656772914,-0.465895091908282,0.244386670807641,-0.48256214002473,0.261053718924089,1,0.757488740860961,-0.110303566222795,-0.434876667599426,0.239634840862514
-0.110835539485101,0.180756963876089,-0.465112678637042,0.243441599666841,-0.481818533885143,0.260147454914942,1,0.758475429203017,-0.110383904917567,-0.434242006723093,0.238743838775056
-0.110916684064683,0.180317780294085,-0.464333039213296,0.242499671083929,-0.481077744813742,0.259244376684375,1,0.759459880934881,-0.110464060064251,-0.433609166759663,0.237855399292823
-0.110997645122966,0.179880101768133,-0.463556166123907,0.241560875877976,-0.480339765031742,0.258344474785811,1,0.760442106173455,-0.110544032495327,-0.432978146509525,0.236969519050333
-0.111078423488199,0.179443924080104,-0.462782051929744,0.240625204953345,-0.479604586829808,0.257447739853409,1,0.761422114967149,-0.110623823037632,-0.43234894479497,0.236086194710448
-0.111159019983042,0.179009243052161,-0.462010689265056,0.239692649298971,-0.478872202567394,0.25655416260131,1,0.762399917296504,-0.110703432512412,-0.431721560460074,0.235205422964252
-0.111239435424608,0.178576054546424,-0.461242070836859,0.238763199987642,-0.478142604672107,0.25566373382289,1,0.763375523074799,-0.110782861735369,-0.431095992370585,0.234327200530924
-0.111319670624516,0.178144354464628,-0.460476189424325,0.237836848175293,-0.477415785639056,0.254776444390024,1,0.764348942148654,-0.110862111516713,-0.430472239413803,0.233451524157612
-0.11139972638894,0.177714138747798,-0.459713037878178,0.236913585100298,-0.476691738030225,0.253892285252346,1,0.765320184298628,-0.11094118266121,-0.429850300498466,0.232578390619304
-0.111479603518657,0.177285403375909,-0.458952609120094,0.235993402082781,-0.475970454473841,0.253011247436528,1,0.766289259239808,-0.111020075968233,-0.429230174554633,0.231707796718702
-0.111559302809095,0.176858144367567,-0.458194896142112,0.235076290523922,-0.475251927663753,0.252133322045562,1,0.767256176622389,-0.111098792231808,-0.428611860533573,0.230839739286097
-0.111638825050383,0.17643235777968,-0.457439892006041,0.234162241905274,-0.474536150358809,0.251258500258042,1,0.768220946032256,-0.11117733224066,-0.427995357407642,0.229974215179238
-0.111718171027395,0.176008039707138,-0.456687589842881,0.233251247788092,-0.47382311538225,0.25038677332746,1,0.769183576991551,-0.111255696778265,-0.42738066417017,0.229111221283207
-0.111797341519795,0.175585186282498,-0.455937982852248,0.232343299812658,-0.473112815621099,0.249518132581509,1,0.770144078959235,-0.111333886622891,-0.426767779835345,0.228250754510291
