"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal"
35972,"Plecotus austriacus","male",36.6988588171489,-5.09352727845663,41.9,41.9,1,1,40
35973,"Hypsugo savii","female",36.7250246922093,-4.99690012481247,34.3,34.3,1,1,34.5
35973,"Hypsugo savii","male",36.7250246922093,-4.99690012481247,34.45,34.45,2,2,34.5
35973,"Myotis escalerai","male",36.7250246922093,-4.99690012481247,39.8,39.8,1,1,39.5
35973,"Pipistrellus kuhlii","male",36.7250246922093,-4.99690012481247,32.15,32.15,2,2,33.8
35973,"Plecotus austriacus","female",36.7250246922093,-4.99690012481247,41.65,41.65,2,2,40
35973,"Plecotus austriacus","male",36.7250246922093,-4.99690012481247,40.6,40.6,1,1,40
35979,"Pipistrellus kuhlii","male",36.8784998682693,-4.41531729673389,32.3333333333333,32.3333333333333,3,3,33.8
35982,"Eptesicus isabellinus","male",36.9529673612862,-4.12337581250134,50.416,50.416,5,5,49
35982,"Hypsugo savii","female",36.9529673612862,-4.12337581250134,34.965,34.965,2,2,34.5
35982,"Hypsugo savii","male",36.9529673612862,-4.12337581250134,34.8666666666667,34.8666666666667,3,3,34.5
35982,"Plecotus austriacus","male",36.9529673612862,-4.12337581250134,41.1,41.1,1,1,40
35992,"Myotis escalerai","female",37.1901979095627,-3.14488754052001,39.834375,39.834375,32,32,39.5
35999,"Eptesicus isabellinus","male",37.346135068421,-2.4552359316715,48.65,48.65,2,2,49
35999,"Hypsugo savii","female",37.346135068421,-2.4552359316715,35.4,35.4,1,1,34.5
35999,"Myotis escalerai","male",37.346135068421,-2.4552359316715,38.35,38.35,2,2,39.5
35999,"Pipistrellus kuhlii","male",37.346135068421,-2.4552359316715,34.64,34.64,1,1,33.8
35999,"Pipistrellus pipistrellus","male",37.346135068421,-2.4552359316715,30.075,30.075,2,2,30.5
35999,"Plecotus austriacus","female",37.346135068421,-2.4552359316715,41.8,41.8,1,1,40
36314,"Myotis emarginatus","female",36.6626603592078,-5.60218013941157,41.9,41.9,1,1,40.4
36314,"Pipistrellus kuhlii","male",36.6626603592078,-5.60218013941157,32.7,32.7,2,2,33.8
36317,"Eptesicus isabellinus","male",36.7432610920511,-5.31291164434427,51.16,51.16,5,5,49
36317,"Hypsugo savii","female",36.7432610920511,-5.31291164434427,35.1333333333333,35.1333333333333,3,3,34.5
36317,"Hypsugo savii","male",36.7432610920511,-5.31291164434427,34,34,2,2,34.5
36317,"Pipistrellus kuhlii","female",36.7432610920511,-5.31291164434427,33.7,33.7,3,3,33.8
36317,"Pipistrellus kuhlii","male",36.7432610920511,-5.31291164434427,32.5,32.5,2,2,33.8
36329,"Hypsugo savii","female",37.0505874589506,-4.1479349742655,34.475,34.475,12,12,34.5
36329,"Hypsugo savii","male",37.0505874589506,-4.1479349742655,33.7875,33.7875,12,12,34.5
36329,"Myotis escalerai","female",37.0505874589506,-4.1479349742655,40.66,40.66,1,1,39.5
36329,"Myotis escalerai","male",37.0505874589506,-4.1479349742655,39.45,39.45,1,1,39.5
36330,"Plecotus austriacus","male",37.0751035321778,-4.05029810349741,38.77,38.77,1,1,40
36392,"Myotis bechsteinii","male",38.4583732178437,16.1886039218673,39.5,39.5,1,1,43
36392,"Myotis crypticus","female",38.4583732178437,16.1886039218673,38.4,38.4,1,1,39.3
36392,"Myotis crypticus","male",38.4583732178437,16.1886039218673,39.5,39.5,1,1,39.3
36392,"Myotis mystacinus","male",38.4583732178437,16.1886039218673,32.2,32.2,1,1,34
36392,"Myotis nattereri","female",38.4583732178437,16.1886039218673,38.4,38.4,1,1,39
36392,"Myotis nattereri","male",38.4583732178437,16.1886039218673,39.5,39.5,1,1,39
36392,"Plecotus auritus","female",38.4583732178437,16.1886039218673,38.7,38.7,1,1,39
36668,"Myotis escalerai","female",36.7325063885194,-5.72550523785772,39.89625,39.89625,8,8,39.5
36681,"Eptesicus isabellinus","male",37.073498484062,-4.46544969828601,50.355,50.355,2,2,49
36684,"Pipistrellus pipistrellus","female",37.1481541080364,-4.17257794471967,31.74,31.74,1,1,30.5
36684,"Pipistrellus pipistrellus","male",37.1481541080364,-4.17257794471967,29.9,29.9,1,1,30.5
36684,"Plecotus austriacus","female",37.1481541080364,-4.17257794471967,41.1621428571429,41.1621428571429,14,14,40
36684,"Plecotus austriacus","male",37.1481541080364,-4.17257794471967,39.5385714285714,39.5385714285714,7,7,40
37783,"Eptesicus isabellinus","female",36.9958086360178,-5.90405110180992,51.9090909090909,51.9090909090909,22,22,49
37783,"Eptesicus isabellinus","male",36.9958086360178,-5.90405110180992,49.85,49.85,6,6,49
37813,"Barbastella barbastellus","female",37.7475776418812,-2.96308375460083,39.75,39.75,2,2,39
37813,"Eptesicus isabellinus","male",37.7475776418812,-2.96308375460083,49.8833333333333,49.8833333333333,9,9,49
37813,"Hypsugo savii","female",37.7475776418812,-2.96308375460083,35.375,35.375,4,4,34.5
37813,"Hypsugo savii","male",37.7475776418812,-2.96308375460083,33.4271428571429,33.4271428571429,7,7,34.5
37813,"Myotis bechsteinii","female",37.7475776418812,-2.96308375460083,42.6,42.6,2,2,43
37813,"Myotis bechsteinii","male",37.7475776418812,-2.96308375460083,42.0388888888889,42.0388888888889,9,9,43
37813,"Myotis escalerai","male",37.7475776418812,-2.96308375460083,39.46,39.46,5,5,39.5
37813,"Pipistrellus kuhlii","female",37.7475776418812,-2.96308375460083,34.25,34.25,1,1,33.8
37813,"Plecotus austriacus","female",37.7475776418812,-2.96308375460083,41.5264705882353,41.5264705882353,17,17,40
37813,"Plecotus austriacus","male",37.7475776418812,-2.96308375460083,40.7371428571429,40.7371428571428,14,14,40
37813,"Rhinolophus ferrumequinum","female",37.7475776418812,-2.96308375460083,55.95,55.95,2,2,58.4
37813,"Rhinolophus ferrumequinum","male",37.7475776418812,-2.96308375460083,55.6,55.6,1,1,58.4
37814,"Eptesicus isabellinus","male",37.7699988089132,-2.86375156988718,48.6,48.6,1,1,49
38170,"Pipistrellus kuhlii","female",36.9524085593778,-6.41473973786892,33.404347826087,33.404347826087,23,23,33.8
38204,"Hypsugo savii","male",37.8227057516572,-3.08539553803802,34.85,34.85,2,2,34.5
38204,"Myotis bechsteinii","male",37.8227057516572,-3.08539553803802,41.14,41.14,5,5,43
38204,"Myotis escalerai","female",37.8227057516572,-3.08539553803802,41.125,41.125,2,2,39.5
38204,"Myotis escalerai","male",37.8227057516572,-3.08539553803802,39.3166666666667,39.3166666666667,3,3,39.5
38204,"Pipistrellus kuhlii","female",37.8227057516572,-3.08539553803802,35.15,35.15,1,1,33.8
38204,"Plecotus austriacus","male",37.8227057516572,-3.08539553803802,41,41,1,1,40
38205,"Myotis emarginatus","female",37.8453280073484,-2.98597956903097,39.2,39.2,1,1,40.4
38205,"Myotis escalerai","female",37.8453280073484,-2.98597956903097,40.3666666666667,40.3666666666667,3,3,39.5
38205,"Myotis mystacinus","male",37.8453280073484,-2.98597956903097,34.1,34.1,1,1,34
38603,"Barbastella barbastellus","female",37.965506757466,-2.90929550115181,40.18,40.18,15,15,39
38603,"Barbastella barbastellus","male",37.965506757466,-2.90929550115181,39.234375,39.234375,16,16,39
38603,"Eptesicus isabellinus","female",37.965506757466,-2.90929550115181,48.7,48.7,1,1,49
38603,"Eptesicus isabellinus","male",37.965506757466,-2.90929550115181,49.265,49.265,2,2,49
38603,"Hypsugo savii","female",37.965506757466,-2.90929550115181,35.7,35.7,8,8,34.5
38603,"Hypsugo savii","male",37.965506757466,-2.90929550115181,33.35,33.35,4,4,34.5
38603,"Myotis bechsteinii","female",37.965506757466,-2.90929550115181,42.5833333333333,42.5833333333333,21,21,43
38603,"Myotis bechsteinii","male",37.965506757466,-2.90929550115181,41.7538461538462,41.7538461538461,13,13,43
38603,"Myotis emarginatus","female",37.965506757466,-2.90929550115181,40.2666666666667,40.2666666666667,3,3,40.4
38603,"Myotis emarginatus","male",37.965506757466,-2.90929550115181,38.4,38.4,1,1,40.4
38603,"Myotis escalerai","female",37.965506757466,-2.90929550115181,40.02,40.02,15,15,39.5
38603,"Myotis escalerai","male",37.965506757466,-2.90929550115181,39.5583333333333,39.5583333333333,6,6,39.5
38603,"Pipistrellus kuhlii","female",37.965506757466,-2.90929550115181,34.1,34.1,1,1,33.8
38603,"Pipistrellus pipistrellus","male",37.965506757466,-2.90929550115181,30.16,30.16,5,5,30.5
38603,"Plecotus austriacus","female",37.965506757466,-2.90929550115181,41.8214285714286,41.8214285714286,14,14,40
38603,"Plecotus austriacus","male",37.965506757466,-2.90929550115181,40.15625,40.15625,8,8,40
38603,"Rhinolophus ferrumequinum","female",37.965506757466,-2.90929550115181,58.2,58.2,1,1,58.4
38603,"Rhinolophus ferrumequinum","male",37.965506757466,-2.90929550115181,57,57,1,1,58.4
38603,"Rhinolophus hipposideros","male",37.965506757466,-2.90929550115181,40.7,40.7,1,1,37
39414,"Eptesicus isabellinus","male",37.3826353152724,-6.01501578628291,48.3,48.3,1,1,49
39449,"Myotis bechsteinii","female",38.2492376431501,-2.55440379320328,42.0571428571429,42.0571428571429,7,7,43
39449,"Myotis bechsteinii","male",38.2492376431501,-2.55440379320328,41.85,41.85,1,1,43
39449,"Plecotus austriacus","female",38.2492376431501,-2.55440379320328,41.8166666666667,41.8166666666667,3,3,40
39449,"Plecotus austriacus","male",38.2492376431501,-2.55440379320328,40.4,40.4,1,1,40
39449,"Rhinolophus ferrumequinum","female",38.2492376431501,-2.55440379320328,56.5,56.5,1,1,58.4
39470,"Myotis escalerai","female",38.6677957842488,-0.430701257815461,40.1713333333333,40.1713333333333,15,15,39.5
39470,"Myotis escalerai","male",38.6677957842488,-0.430701257815461,39.585,39.585,12,12,39.5
39629,"Rhinolophus ferrumequinum","female",36.2195876086091,29.6135569335718,56.7,56.7,1,1,58.4
39856,"Eptesicus isabellinus","female",37.5068808977585,-5.94548744873733,50.2642857142857,50.2642857142857,42,42,49
39856,"Eptesicus isabellinus","male",37.5068808977585,-5.94548744873733,48.65,48.65,2,2,49
39890,"Barbastella barbastellus","female",38.346929879647,-2.57678923442961,40.45,40.45,1,1,39
39890,"Barbastella barbastellus","male",38.346929879647,-2.57678923442961,39.95,39.95,2,2,39
39890,"Eptesicus isabellinus","male",38.346929879647,-2.57678923442961,48.6,48.6,1,1,49
39890,"Hypsugo savii","male",38.346929879647,-2.57678923442961,33.9666666666667,33.9666666666667,3,3,34.5
39890,"Myotis bechsteinii","female",38.346929879647,-2.57678923442961,42.14375,42.14375,8,8,43
39890,"Myotis bechsteinii","male",38.346929879647,-2.57678923442961,41.125,41.125,6,6,43
39890,"Myotis emarginatus","female",38.346929879647,-2.57678923442961,40.1,40.1,1,1,40.4
39890,"Myotis emarginatus","male",38.346929879647,-2.57678923442961,39.1,39.1,1,1,40.4
39890,"Myotis escalerai","female",38.346929879647,-2.57678923442961,39.8666666666667,39.8666666666667,6,6,39.5
39890,"Myotis escalerai","male",38.346929879647,-2.57678923442961,40.1166666666667,40.1166666666667,3,3,39.5
39890,"Plecotus austriacus","female",38.346929879647,-2.57678923442961,41.5888888888889,41.5888888888889,27,27,40
39890,"Plecotus austriacus","male",38.346929879647,-2.57678923442961,40.725,40.725,6,6,40
40306,"Eptesicus isabellinus","female",37.5197887714978,-6.26609364732238,51.57,51.57,36,36,49
40306,"Eptesicus isabellinus","male",37.5197887714978,-6.26609364732238,49.11,49.11,5,5,49
40319,"Pipistrellus kuhlii","female",37.8712850882126,-4.99165300074507,33.6698113207547,33.6698113207547,53,53,33.8
