"Bat_species","Sex","fal","bm","r_Tmax_FAL","r_Tmin_FAL","r_SP_FAL","r_Tmax_BM","r_Tmin_BM","r_SP_BM","n","yi_Tmax_FAL","yi_Tmax_BM","yi_Tmin_FAL","yi_Tmin_BM","yi_SP_FAL","yi_SP_BM","vi","SPID"
"Pipistrellus pipistrellus","female",30.5,5.75,-0.597,0.001,0.25,-0.368,-0.01,0.214,240,-0.688472793134165,-0.386107852017819,0.00100000033333353,-0.0100003333533348,0.255412811882995,0.217359589595119,0.00421940928270042,"SP14"
"Pipistrellus pipistrellus","male",30.5,5.75,-0.568,0.084,0.196,-0.467,0.227,0.141,258,-0.644565306333121,-0.506226676988569,0.0841984086627306,0.231024198061745,0.198569332665805,0.14194571393891,0.00392156862745098,"SP14"
"Plecotus auritus","female",39,7.5,0.052,-0.355,0.104,0.163,-0.272,0.016,98,0.0520469455213167,0.164467041014595,-0.371153208259014,-0.279022347851691,0.104377406931055,0.0160013655430869,0.0105263157894737,"SP15"
"Plecotus auritus","male",39,7.5,-0.037,-0.453,0.158,0.099,-0.179,-0.002,151,-0.0370168982157009,0.0993253483976417,-0.488468430574151,-0.180949395542471,0.159334821945307,-0.00200000266667307,0.00675675675675676,"SP15"
"Plecotus austriacus","female",40,8,0.044,-0.159,-0.096,0.178,-0.319,-0.052,60,0.0440284276955914,0.179916484577676,-0.160360591683402,-0.330533423283901,-0.0962965535578922,-0.0520469455213167,0.0175438596491228,"SP16"
"Plecotus austriacus","male",40,8,-0.033,-0.13,-0.17,0.164,-0.086,-0.132,75,-0.0330119868331721,0.165494507603341,-0.130739850028878,-0.0862129645198654,-0.171666663500579,-0.132774772051389,0.0138888888888889,"SP16"
"Rhinolophus euryale","female",46,16,-0.828,-0.573,0.898,0.386,0.267,-0.291,10,-1.18174163760032,0.407091125801353,-0.651977944914827,0.273630739217244,1.4617915829428,-0.299658432157257,0.142857142857143,"SP17"
"Rhinolophus euryale","male",46,16,-0.029,0.2,-0.086,-0.257,0.2,0.829,6,-0.0290081337713624,-0.262893581936244,0.202732554054082,0.202732554054082,-0.0862129645198654,1.1849305459441,0.333333333333333,"SP17"
"Rhinolophus ferrumequinum","female",58.4,23.5,-0.46,-0.454,0.382,-0.453,-0.505,0.393,39,-0.497311287572031,-0.488468430574151,-0.48972734117428,-0.555995207307143,0.402399273434962,0.415343091360154,0.0277777777777778,"SP18"
"Rhinolophus ferrumequinum","male",58.4,23.5,-0.05,-0.213,0.095,-0.413,-0.468,0.425,46,-0.0500417292784913,-0.439222781428215,-0.216311830263323,-0.507506359916408,0.0952873492753375,0.4537785259527,0.0232558139534884,"SP18"
"Rhinolophus hipposideros","female",37,7,-0.005,0.098,0.21,-0.007,-0.047,-0.146,21,-0.00500004166729168,-0.00700011433669485,0.0983155510034261,-0.0470346536081674,0.21317134656486,-0.147050851743057,0.0555555555555556,"SP19"
"Rhinolophus hipposideros","male",37,7,-0.496,-0.579,0.123,-0.508,-0.374,0.136,40,-0.543986945231527,-0.560030416037797,-0.66095709028663,-0.393065550841098,0.12362598118313,0.136847915238521,0.027027027027027,"SP19"
