"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.fal.","cor","cor_ci.lb","cor_ci.ub"
-0.280551122460791,0.0953696078557074,-0.467472119077686,-0.0936301258438966,-0.683209998362782,0.1221077534412,1,1.48429983934679,-0.273415080217874,-0.436154573529426,-0.0933574759209057
-0.280003740513242,0.0951315052693759,-0.466458064636301,-0.0935494163901825,-0.682446191492992,0.122438710466509,1,1.48469732771805,-0.272908542489951,-0.43533306042694,-0.0932774692973215
-0.279456859099377,0.0948938496278382,-0.4654453867243,-0.0934683314744546,-0.681683715207331,0.122769997008576,1,1.4850944526204,-0.27240231679358,-0.434511938328558,-0.0931970892682375
-0.278910477304645,0.0946566416285104,-0.46443408579404,-0.0933868688152497,-0.680922567512549,0.123101612903259,1,1.48549121471796,-0.271896402931606,-0.433691211279543,-0.0931163335561184
-0.278364594216995,0.0944198819781641,-0.463424162318719,-0.0933050261152709,-0.680162746418319,0.123433557984329,1,1.48588761467302,-0.271390800706839,-0.432870883337664,-0.0930351998675451
-0.277819208926872,0.0941835713929792,-0.462415616792468,-0.0932228010612762,-0.679404249937221,0.123765832083476,1,1.48628365314606,-0.270885509922054,-0.432050958573301,-0.0929536858931023
-0.27727432052721,0.0939477105985897,-0.461408449730438,-0.0931401913239821,-0.678647076084725,0.124098435030305,1,1.48667933079578,-0.270380530379993,-0.431231441069544,-0.0928717893072802
-0.276729928113415,0.0937123003301319,-0.460402661668875,-0.093057194557956,-0.67789122287917,0.124431366652339,1,1.48707464827904,-0.269875861883364,-0.43041233492229,-0.0927895077683662
-0.276186030783366,0.0934773413322991,-0.45939825316523,-0.0929738084015025,-0.677136688341754,0.124764626775021,1,1.48746960625093,-0.269371504234843,-0.429593644240359,-0.0927068389183298
-0.275642627637398,0.0932428343593843,-0.458395224798225,-0.0928900304765704,-0.676383470496507,0.125098215221712,1,1.48786420536476,-0.268867457237075,-0.428775373145579,-0.0926237803827275
-0.275099717778295,0.0930087801753355,-0.457393577167956,-0.0928058583886344,-0.675631567370283,0.125432131813693,1,1.48825844627205,-0.268363720692674,-0.427957525772908,-0.0925403297705844
-0.274557300311285,0.0927751795537988,-0.456393310895968,-0.0927212897266029,-0.674880976992736,0.125766376370165,1,1.48865232962255,-0.267860294404225,-0.427140106270516,-0.0924564846742995
-0.274015374344029,0.0925420332781728,-0.455394426625354,-0.0926363220627027,-0.674131697396305,0.126100948708248,1,1.48904585606425,-0.267357178174284,-0.426323118799905,-0.0923722426695297
