"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.fal.","cor","cor_ci.lb","cor_ci.ub"
-0.278435894477135,0.113107920619775,-0.500123345258109,-0.0567484436961605,-0.757557187387354,0.200685398433085,1,1.48429983934679,-0.271456848213146,-0.462214156329187,-0.0566876047696311
-0.277982436145744,0.112819946205751,-0.499105467446763,-0.0568594048447245,-0.756842835905366,0.200877963613878,1,1.48469732771805,-0.271036753008754,-0.461413363415691,-0.0567982086500944
-0.277529392462974,0.112532532464749,-0.498089103182967,-0.0569696817429804,-0.756129928901328,0.201071143975381,1,1.4850944526204,-0.270616938811503,-0.460613010371882,-0.0569081291021151
-0.277076762671197,0.112245680380765,-0.49707425363769,-0.0570792717047032,-0.755418464300635,0.201264938958241,1,1.48549121471796,-0.270197405336356,-0.459813102071136,-0.05701736347121
-0.276624546014859,0.111959390950284,-0.496060920008455,-0.0571881720212627,-0.754708440031015,0.201459348001297,1,1.48588761467302,-0.269778152298664,-0.459013643405092,-0.0571259090806355
-0.276172741740474,0.111673665182354,-0.495049103519472,-0.0572963799614758,-0.753999854022526,0.201654370541578,1,1.48628365314606,-0.269359179414171,-0.458214639283787,-0.0572337632312392
-0.275721349096615,0.111388504098653,-0.494038805421766,-0.0574038927714634,-0.753292704207532,0.201850006014303,1,1.48667933079578,-0.268940486399009,-0.457416094635801,-0.0573409232013153
-0.275270367333905,0.111103908733546,-0.493030026993281,-0.0575107076745296,-0.752586988520682,0.202046253852871,1,1.48707464827904,-0.268522072969702,-0.456618014408378,-0.0574473862464824
-0.274819795705016,0.110819880134156,-0.492022769539008,-0.0576168218710235,-0.751882704898891,0.202243113488859,1,1.48746960625093,-0.268103938843158,-0.455820403567558,-0.0575531495995444
-0.274369633464652,0.110536419360437,-0.491017034391123,-0.0577222325381804,-0.751179851281331,0.202440584352027,1,1.48786420536476,-0.267686083736677,-0.455023267098336,-0.0576582104703302
-0.27391987986955,0.11025352748523,-0.490012822909097,-0.0578269368300019,-0.750478425609406,0.202638665870307,1,1.48825844627205,-0.267268507367943,-0.454226610004778,-0.0577625660455723
-0.273470534178468,0.109971205594338,-0.48901013647982,-0.0579309318771157,-0.749778425826736,0.202837357469801,1,1.48865232962255,-0.266851209455029,-0.453430437310163,-0.0578662134887657
-0.273021595652179,0.109689454786588,-0.488008976517727,-0.0580342147866316,-0.74907984987914,0.203036658574781,1,1.48904585606425,-0.26643418971639,-0.452634754057122,-0.0579691499400221
-0.272573063553465,0.109408276173902,-0.487009344464925,-0.0581367826420055,-0.748382695714618,0.203236568607688,1,1.48943902624337,-0.266017447870869,-0.451839565307772,-0.0580713725159324
-0.272124937147107,0.109127670881361,-0.486011241791314,-0.0582386325028994,-0.747686961283337,0.203437086989123,1,1.48983184080438,-0.265600983637693,-0.451044876143857,-0.0581728783094257
-0.271677215699879,0.108847640047275,-0.485014669994717,-0.0583397614050407,-0.74699264453761,0.203638213137852,1,1.49022430039001,-0.265184796736472,-0.450250691666884,-0.0582736643896264
-0.271229898480542,0.108568184823247,-0.484019630600994,-0.0584401663600903,-0.746299743431879,0.203839946470795,1,1.49061640564124,-0.264768886887199,-0.449457016998257,-0.0583737278017217
-0.270782984759836,0.108289306374248,-0.483026125164186,-0.0585398443554855,-0.745608255922707,0.204042286403036,1,1.49100815719731,-0.264353253810249,-0.448663857279428,-0.058473065566802
-0.270336473810471,0.108011005878675,-0.482034155266618,-0.0586387923543233,-0.744918179968748,0.204245232347807,1,1.49139955569576,-0.26393789722638,-0.447871217672015,-0.0585716746817429
-0.269890364907122,0.107733284528425,-0.481043722519043,-0.0587370072952023,-0.744229513530743,0.204448783716498,1,1.49179060177237,-0.26352281685673,-0.447079103357961,-0.0586695521190458
-0.269444657326425,0.107456143528961,-0.480054828560755,-0.0588344860920947,-0.743542254571494,0.204652939918644,1,1.49218129606123,-0.263108012422817,-0.446287519539657,-0.0587666948267076
-0.268999350346962,0.10717958409938,-0.479067475059728,-0.0589312256341958,-0.742856401055856,0.204857700361933,1,1.49257163919471,-0.262693483646539,-0.445496471440093,-0.0588630997280688
-0.268554443249259,0.106903607472479,-0.478081663712725,-0.0590272227857938,-0.742171950950716,0.205063064452197,1,1.49296163180348,-0.262279230250174,-0.444705964302985,-0.0589587637216819
-0.268109935315782,0.106628214894825,-0.477097396245437,-0.0591224743861269,-0.741488902224978,0.205269031593414,1,1.49335127451652,-0.261865251956376,-0.443916003392924,-0.0590536836811656
-0.267665825830923,0.106353407626824,-0.476114674412605,-0.0592169772492404,-0.74080725284955,0.205475601187704,1,1.49374056796109,-0.26145154848818,-0.443126593995507,-0.059147856455061
-0.267222114080997,0.106079186942785,-0.475133499998147,-0.0593107281638473,-0.740127000797326,0.205682772635331,1,1.4941295127628,-0.261038119568994,-0.442337741417484,-0.0592412788666902
-0.266778799354237,0.105805554130992,-0.474153874815284,-0.0594037238931908,-0.739448144043174,0.205890545334699,1,1.49451810954557,-0.260624964922607,-0.441549450986893,-0.0593339477140163
-0.266335880940784,0.105532510493763,-0.473175800706655,-0.059495961174913,-0.738770680563912,0.206098918682345,1,1.49490635893163,-0.260212084273179,-0.44076172805319,-0.0594258597695106
-0.265893358132679,0.105260057347532,-0.472199279544463,-0.0595874367208951,-0.738094608338308,0.20630789207295,1,1.49529426154155,-0.259799477345248,-0.439974577987405,-0.0595170117799906
-0.265451230223861,0.104988196022901,-0.471224313230579,-0.0596781472171431,-0.737419925347047,0.206517464899325,1,1.49568181799426,-0.259387143863727,-0.439188006182263,-0.0596074004665036
-0.265009496510156,0.104716927864722,-0.47025090369669,-0.0597680893236222,-0.736746629572736,0.206727636552424,1,1.49606902890701,-0.2589750835539,-0.438402018052342,-0.0596970225241588
-0.264568156289273,0.104446254232149,-0.4692790529044,-0.0598572596741459,-0.73607471899987,0.206938406421325,1,1.49645589489541,-0.258563296141426,-0.437616619034189,-0.0597858746220148
-0.264127208860795,0.10417617649872,-0.468308762845375,-0.0599456548762146,-0.735404191614835,0.207149773893245,1,1.49684241657342,-0.258151781352336,-0.436831814586478,-0.0598739534029151
-0.263686653526173,0.103906696052411,-0.467340035541449,-0.0600332715108975,-0.734735045405875,0.207361738353529,1,1.49722859455337,-0.257740538913033,-0.436047610190129,-0.0599612554833684
-0.263246489588723,0.103637814295714,-0.466372873044773,-0.0601201061326725,-0.734067278363101,0.207574299185656,1,1.49761442944596,-0.257329568550291,-0.435264011348467,-0.060047777453386
-0.262806716353611,0.103369532645695,-0.465407277437911,-0.0602061552693109,-0.733400888478454,0.207787455771232,1,1.49799992186025,-0.256918869991255,-0.43448102358734,-0.0601335158763639
-0.262367333127856,0.103101852534062,-0.464443250833978,-0.0602914154217347,-0.732735873745705,0.208001207489992,1,1.4983850724037,-0.256508442963439,-0.43369865245526,-0.0602184672889379
-0.261928339220319,0.10283477540724,-0.463480795376774,-0.0603758830638633,-0.732072232160441,0.208215553719804,1,1.49876988168213,-0.256098287194727,-0.432916903523556,-0.0603026282008277
-0.261489733941692,0.102568302726421,-0.462519913240878,-0.0604595546425055,-0.731409961720042,0.208430493836658,1,1.49915435029977,-0.255688402413371,-0.432135782386481,-0.0603859950947265
-0.261051516604502,0.102302435967641,-0.461560606631794,-0.0605424265772095,-0.730749060423677,0.208646027214674,1,1.49953847885925,-0.255278788347993,-0.431355294661371,-0.0604685644261479
