"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.bm.","cor","cor_ci.lb","cor_ci.ub"
-0.280339677315116,0.156722623856454,-0.587510375636384,0.0268310210061515,-0.852764455931674,0.292085101301442,1,0.653212513775344,-0.273219430516466,-0.528102681585741,0.026824584276015
-0.28035366226021,0.156413587659966,-0.586918660766442,0.0262113362460226,-0.852453642662383,0.291746318141963,1,0.655044169133288,-0.273232371451942,-0.527675858194412,0.0262053352008328
-0.280367588470834,0.156106965772013,-0.586331619119806,0.0255964421781375,-0.852145759895737,0.291410582954068,1,0.656868131839968,-0.273245257939343,-0.527252142282354,0.0255908535687429
-0.280381456438277,0.155802739874984,-0.585749215285909,0.0249863024093551,-0.851840779059464,0.29107786618291,1,0.658684466240975,-0.273258090434507,-0.526831514582193,0.0249811039305183
-0.280395266647687,0.155500891864419,-0.585171414265806,0.0243808809704322,-0.851538671953204,0.29074813865783,1,0.660493235877933,-0.273270869387576,-0.526413956010059,0.0243760512312559
-0.280409019578177,0.155201403845352,-0.584598181465122,0.0237801423087682,-0.851239410742245,0.290421371585891,1,0.662294503501828,-0.273283595243087,-0.525999447662671,0.0237756608039481
-0.280422715702923,0.154904258128739,-0.584029482687148,0.0231840512813023,-0.850942967951389,0.290097536545544,1,0.664088331086077,-0.273296268440065,-0.525587970814477,0.023179898363183
-0.280436355489261,0.154609437227966,-0.583465284126081,0.0225925731475592,-0.850649316458949,0.289776605480428,1,0.665874779839321,-0.273308889412115,-0.525179506914853,0.0225887299989713
-0.280449939398784,0.154316923855415,-0.582905552360408,0.0220056735628404,-0.850358429490862,0.289458550693294,1,0.667653910217954,-0.273321458587509,-0.52477403758536,0.022002122170697
-0.280463467887436,0.154026700919117,-0.582350254346428,0.0214233185715567,-0.850070280614933,0.289143344840061,1,0.669425781938402,-0.273333976389273,-0.524371544617044,0.0214200417011875
-0.280476941405601,0.153738751519463,-0.581799357411901,0.0208454746006984,-0.849784843735188,0.288830960923985,1,0.671190453989151,-0.273346443235276,-0.523972009967801,0.0208424557709017
-0.280490360398198,0.153453058945989,-0.581252829249837,0.0202721084534415,-0.849502093086351,0.288521372289955,1,0.672947984642526,-0.273358859538309,-0.523575415759783,0.0202693319122336
